,idaviso,idcaracteristica
63,47291758,1000002
64,47291758,1000004
65,47291758,1000019
66,47291758,1000027
67,47291758,1000046
68,47291758,1000100
69,47291758,1000102
70,47291758,1000103
71,47291758,1000111
261,48434266,1000004
262,48434266,1000016
263,48434266,1000038
264,48434266,1000100
265,48434266,1000102
542,48414296,1000001
543,48414296,1000004
544,48414296,1000078
545,48414296,1000102
546,48414296,1000103
547,48414296,1000109
548,48414296,1000110
549,48414296,1000111
550,48414296,1000114
1490,48547112,1000001
1491,48547112,1000009
1492,48547112,1000015
1493,48547112,1000019
1494,48547112,1000029
1495,48547112,1000100
1496,48547112,1000101
1497,48547112,1000102
1498,48547112,1000108
1499,48547112,1000110
1500,48547112,1000111
1501,48547112,1000117
1538,48010704,1000016
1539,48010704,1000018
1540,48010704,1000025
1541,48010704,1000026
1542,48010704,1000027
1543,48010704,1000078
1544,48010704,1000102
1545,48010704,1000103
1546,48010704,1000104
1547,48010704,1000109
1548,48010704,1000110
1549,48010704,1000111
1550,48010704,1000114
1715,48248253,1000004
1716,48248253,1000016
1717,48248253,1000100
1718,48248253,1000102
1719,48248253,1000103
2367,48547178,1000001
2368,48547178,1000002
2369,48547178,1000016
2370,48547178,1000019
2371,48547178,1000027
2372,48547178,1000029
2373,48547178,1000102
2374,48547178,1000103
2375,48547178,1000116
6770,48259730,1000018
6771,48259730,1000019
6772,48259730,1000027
6773,48259730,1000038
6774,48259730,1000039
6775,48259730,1000046
6776,48259730,1000050
6777,48259730,1000068
6778,48259730,1000071
6779,48259730,1000074
6780,48259730,1000078
6781,48259730,1000079
6782,48259730,1000085
6783,48259730,1000087
6784,48259730,1000088
6785,48259730,1000090
6786,48259730,1000092
6787,48259730,1000097
6788,48259730,1000100
6789,48259730,1000101
6790,48259730,1000102
6791,48259730,1000103
6792,48259730,1000104
6793,48259730,1000105
6794,48259730,1000106
6795,48259730,1000110
6796,48259730,1000111
6797,48259730,1000112
6798,48259730,1000117
7176,48547188,1000001
7177,48547188,1000009
7178,48547188,1000015
7179,48547188,1000019
7180,48547188,1000029
7181,48547188,1000100
7182,48547188,1000101
7183,48547188,1000102
7184,48547188,1000103
7185,48547188,1000104
7186,48547188,1000105
7187,48547188,1000110
7188,48547188,1000111
7189,48547188,1000117
7190,48547188,2000171
7292,44616186,1000010
7293,44616186,1000021
7294,44616186,1000022
7295,44616186,1000025
7296,44616186,1000026
7297,44616186,1000029
7298,44616186,1000032
7299,44616186,1000102
7300,44616186,1000103
7301,44616186,1000111
7302,44616186,1000117
7303,44616186,1000121
7304,44616186,1000125
7305,44616186,1000127
7306,44616186,1000128
7307,44616186,2000171
7862,48547592,1000002
7863,48547592,1000016
7864,48547592,1000018
7865,48547592,1000025
7866,48547592,1000026
7867,48547592,1000027
7868,48547592,1000038
7869,48547592,1000046
7870,48547592,1000050
7871,48547592,1000078
7872,48547592,1000079
7873,48547592,1000085
7874,48547592,1000100
7875,48547592,1000102
7876,48547592,1000103
7877,48547592,1000104
7878,48547592,1000106
7879,48547592,1000108
7880,48547592,1000110
7881,48547592,1000111
7882,48547592,1000117
7883,48547592,1000118
8116,48377029,1000016
8117,48377029,1000025
8118,48377029,1000026
8119,48377029,1000078
8120,48377029,1000079
8121,48377029,1000102
8122,48377029,1000111
8123,48377029,2000141
8399,45951623,1000010
8400,45951623,1000021
8401,45951623,1000032
8402,45951623,1000100
8403,45951623,1000102
8404,45951623,1000112
8405,45951623,1000114
8406,45951623,1000121
8407,45951623,1000122
8408,45951623,1000125
8409,45951623,1000127
8410,45951623,1000128
9762,47261980,1000017
9763,47261980,1000018
9764,47261980,1000019
9765,47261980,1000020
9766,47261980,1000021
9767,47261980,1000027
9768,47261980,1000038
9769,47261980,1000046
9770,47261980,1000097
9771,47261980,1000100
9772,47261980,1000101
9773,47261980,1000102
9774,47261980,1000103
9775,47261980,1000104
9776,47261980,1000106
9777,47261980,1000107
9778,47261980,1000108
9779,47261980,1000110
9780,47261980,1000111
9781,47261980,1000112
9782,47261980,1000118
9783,47261980,2000141
9784,47261980,2000142
9923,47399841,1000003
9924,47399841,1000015
9925,47399841,1000027
9926,47399841,1000039
9927,47399841,1000071
9928,47399841,1000078
9929,47399841,1000079
9930,47399841,1000090
9931,47399841,1000102
9932,47399841,1000103
9933,47399841,1000109
9934,47399841,1000113
9935,47399841,1000115
9936,47399841,1000116
9937,47399841,2000141
9938,47399841,2000148
9987,47224303,1000010
9988,47224303,1000017
9989,47224303,1000018
9990,47224303,1000019
9991,47224303,1000020
9992,47224303,1000021
9993,47224303,1000022
9994,47224303,1000027
9995,47224303,1000038
9996,47224303,1000039
9997,47224303,1000046
9998,47224303,1000068
9999,47224303,1000071
10000,47224303,1000078
10001,47224303,1000079
10002,47224303,1000085
10003,47224303,1000090
10004,47224303,1000092
10005,47224303,1000097
10006,47224303,1000100
10007,47224303,1000101
10008,47224303,1000102
10009,47224303,1000103
10010,47224303,1000104
10011,47224303,1000105
10012,47224303,1000106
10013,47224303,1000110
10014,47224303,1000111
10015,47224303,1000112
10016,47224303,1000116
10017,47224303,1000117
10018,47224303,2000141
10019,47224303,2000142
10482,47062157,1000010
10483,47062157,1000017
10484,47062157,1000018
10485,47062157,1000020
10486,47062157,1000021
10487,47062157,1000027
10488,47062157,1000038
10489,47062157,1000039
10490,47062157,1000046
10491,47062157,1000097
10492,47062157,1000100
10493,47062157,1000101
10494,47062157,1000102
10495,47062157,1000103
10496,47062157,1000104
10497,47062157,1000105
10498,47062157,1000106
10499,47062157,1000107
10500,47062157,1000110
10501,47062157,1000111
10502,47062157,1000112
10503,47062157,1000117
10504,47062157,1000118
10505,47062157,2000141
10506,47062157,2000142
11586,48547342,1000009
11587,48547342,1000019
11588,48547342,1000029
11589,48547342,1000100
11590,48547342,1000101
11591,48547342,1000102
11592,48547342,1000104
11593,48547342,1000105
11594,48547342,1000108
11595,48547342,1000110
11596,48547342,1000111
11597,48547342,2000171
11701,46745281,1000002
11702,46745281,1000004
11703,46745281,1000016
11704,46745281,1000018
11705,46745281,1000029
11706,46745281,1000038
11707,46745281,1000068
11708,46745281,1000071
11709,46745281,1000074
11710,46745281,1000078
11711,46745281,1000079
11712,46745281,1000085
11713,46745281,1000090
11714,46745281,1000092
11715,46745281,1000097
11716,46745281,1000100
11717,46745281,1000101
11718,46745281,1000106
11719,46745281,1000112
12285,48310624,1000001
12286,48310624,1000016
12287,48310624,1000025
12288,48310624,1000026
12289,48310624,1000029
12290,48310624,1000038
12291,48310624,1000046
12292,48310624,1000078
12293,48310624,1000085
12294,48310624,1000090
12295,48310624,1000099
12296,48310624,1000100
12297,48310624,1000102
12298,48310624,1000103
12299,48310624,1000104
12300,48310624,1000107
12301,48310624,1000108
12302,48310624,1000110
12303,48310624,1000111
12304,48310624,1000112
12305,48310624,1000114
12306,48310624,1000116
12307,48310624,2000141
12828,21490200,1000005
12829,21490200,1000009
12830,21490200,1000010
12831,21490200,1000015
12832,21490200,1000017
12833,21490200,1000018
12834,21490200,1000019
12835,21490200,1000021
12836,21490200,1000027
12837,21490200,1000029
12838,21490200,1000033
12839,21490200,1000038
12840,21490200,1000100
12841,21490200,1000102
12842,21490200,1000106
12843,21490200,1000110
12844,21490200,1000112
12845,21490200,1000117
13513,21531924,1000005
13514,21531924,1000009
13515,21531924,1000010
13516,21531924,1000015
13517,21531924,1000017
13518,21531924,1000018
13519,21531924,1000019
13520,21531924,1000020
13521,21531924,1000021
13522,21531924,1000027
13523,21531924,1000033
13524,21531924,1000038
13525,21531924,1000046
13526,21531924,1000068
13527,21531924,1000074
13528,21531924,1000078
13529,21531924,1000079
13530,21531924,1000085
13531,21531924,1000090
13532,21531924,1000100
13533,21531924,1000102
13534,21531924,1000103
13535,21531924,1000104
13536,21531924,1000106
13537,21531924,1000110
13538,21531924,1000111
13539,21531924,1000112
13540,21531924,1000117
13541,21531924,1000118
13542,21531924,1000121
13543,21531924,1000122
13544,21531924,1000125
13545,21531924,1000126
13546,21531924,1000127
13547,21531924,1000128
13548,21531924,1000129
13549,21531924,1000131
14819,48584696,1000027
14820,48584696,1000029
14821,48584696,1000102
14822,48584696,1000103
14823,48584696,1000104
14824,48584696,1000107
14825,48584696,1000109
14826,48584696,1000110
14827,48584696,1000111
14828,48584696,1000112
14829,48584696,1000114
14830,48584696,2000171
14855,21549683,1000005
14856,21549683,1000009
14857,21549683,1000010
14858,21549683,1000015
14859,21549683,1000017
14860,21549683,1000019
14861,21549683,1000020
14862,21549683,1000021
14863,21549683,1000027
14864,21549683,1000033
14865,21549683,1000038
14866,21549683,1000040
14867,21549683,1000046
14868,21549683,1000068
14869,21549683,1000074
14870,21549683,1000079
14871,21549683,1000090
14872,21549683,1000097
14873,21549683,1000100
14874,21549683,1000106
14875,21549683,1000110
14876,21549683,1000112
14877,21549683,1000121
14878,21549683,1000122
14879,21549683,1000127
14880,21549683,1000128
15260,21580498,1000017
15261,21580498,1000019
15262,21580498,1000020
15263,21580498,1000021
15264,21580498,1000027
15265,21580498,1000033
15266,21580498,1000038
15267,21580498,1000040
15268,21580498,1000046
15269,21580498,1000125
15270,21580498,1000126
15271,21580498,1000131
15902,21609931,1000004
15903,21609931,1000010
15904,21609931,1000017
15905,21609931,1000020
15906,21609931,1000021
15907,21609931,1000027
15908,21609931,1000033
15909,21609931,1000038
15910,21609931,1000068
15911,21609931,1000074
15912,21609931,1000079
15913,21609931,1000090
15914,21609931,1000100
15915,21609931,1000102
15916,21609931,1000106
15917,21609931,1000108
15918,21609931,1000112
15919,21609931,1000117
15920,21609931,1000118
15921,21609931,1000121
15922,21609931,1000122
15923,21609931,1000125
15924,21609931,1000127
16572,21648557,1000004
16573,21648557,1000005
16574,21648557,1000009
16575,21648557,1000010
16576,21648557,1000015
16577,21648557,1000017
16578,21648557,1000019
16579,21648557,1000020
16580,21648557,1000021
16581,21648557,1000022
16582,21648557,1000027
16583,21648557,1000029
16584,21648557,1000033
16585,21648557,1000038
16586,21648557,1000074
16587,21648557,1000079
16588,21648557,1000085
16589,21648557,1000090
16590,21648557,1000097
16591,21648557,1000100
16592,21648557,1000102
16593,21648557,1000103
16594,21648557,1000110
16595,21648557,1000112
16792,21685910,1000010
16793,21685910,1000027
16794,21685910,1000029
16795,21685910,1000038
16796,21685910,1000046
16797,21685910,1000102
16798,21685910,1000108
16799,21685910,1000111
16800,21685910,1000121
16801,21685910,1000122
16802,21685910,1000127
16803,21685910,1000128
16804,21685910,1000129
16831,48584642,1000002
16832,48584642,1000009
16833,48584642,1000015
16834,48584642,1000016
16835,48584642,1000018
16836,48584642,1000019
16837,48584642,1000027
16838,48584642,1000029
16839,48584642,1000038
16840,48584642,1000095
16841,48584642,1000100
16842,48584642,1000102
16843,48584642,1000105
16844,48584642,1000110
16845,48584642,1000111
16846,48584642,1000117
16847,48584642,2000148
17105,21689492,1000004
17106,21689492,1000005
17107,21689492,1000009
17108,21689492,1000015
17109,21689492,1000017
17110,21689492,1000018
17111,21689492,1000019
17112,21689492,1000020
17113,21689492,1000021
17114,21689492,1000022
17115,21689492,1000027
17116,21689492,1000029
17117,21689492,1000033
17118,21689492,1000100
17119,21689492,1000101
17120,21689492,1000102
17121,21689492,1000110
17122,21689492,1000116
17123,21689492,1000121
17124,21689492,1000122
17125,21689492,1000125
17126,21689492,1000127
17127,21689492,1000128
17433,48586027,1000029
17434,48586027,1000046
17435,48586027,1000078
17436,48586027,1000101
17437,48586027,1000102
17438,48586027,1000108
17439,48586027,1000110
17440,48586027,1000111
17441,48586027,1000114
17442,48586027,1000117
18609,21761440,1000009
18610,21761440,1000010
18611,21761440,1000015
18612,21761440,1000017
18613,21761440,1000019
18614,21761440,1000020
18615,21761440,1000021
18616,21761440,1000022
18617,21761440,1000027
18618,21761440,1000033
18619,21761440,1000038
18620,21761440,1000074
18621,21761440,1000078
18622,21761440,1000090
18623,21761440,1000100
18624,21761440,1000102
18625,21761440,1000121
18626,21761440,1000122
18627,21761440,1000127
20190,21942232,1000010
20191,21942232,1000017
20192,21942232,1000019
20193,21942232,1000020
20194,21942232,1000021
20195,21942232,1000027
20196,21942232,1000029
20197,21942232,1000033
20198,21942232,1000038
20199,21942232,1000040
20200,21942232,1000046
20201,21942232,1000097
20202,21942232,1000100
20203,21942232,1000102
20204,21942232,1000103
20205,21942232,1000110
20206,21942232,1000111
20207,21942232,1000117
20208,21942232,1000121
20209,21942232,1000125
20210,21942232,1000126
20211,21942232,1000127
20212,21942232,1000129
20213,21942232,1000131
20722,48135878,1000001
20723,48135878,1000002
20724,48135878,1000016
20725,48135878,1000018
20726,48135878,1000025
20727,48135878,1000026
20728,48135878,1000027
20729,48135878,1000029
20730,48135878,1000040
20731,48135878,1000078
20732,48135878,1000102
20733,48135878,1000103
20734,48135878,1000104
20735,48135878,1000105
20736,48135878,1000106
20737,48135878,1000109
20738,48135878,1000110
20739,48135878,1000111
20740,48135878,1000116
22052,48585675,1000004
22053,22083266,1000005
22054,22083266,1000009
22055,22083266,1000010
22056,22083266,1000015
22057,22083266,1000017
22058,22083266,1000019
22059,22083266,1000021
22060,22083266,1000027
22061,22083266,1000033
22062,22083266,1000038
22063,22083266,1000100
22064,22083266,1000101
22065,22083266,1000102
22066,22083266,1000104
22067,22083266,1000105
22068,22083266,1000106
22069,22083266,1000108
22070,22083266,1000110
22071,22083266,1000111
22072,22083266,1000112
22073,22083266,1000114
22074,22083266,1000117
22075,22083266,1000121
22076,22083266,1000125
22077,22083266,1000127
22078,22083266,1000129
22175,48274284,1000004
22176,48274284,1000016
22177,48274284,1000027
22178,48274284,1000038
22179,48274284,1000039
22180,48274284,1000046
22181,48274284,1000078
22182,48274284,1000095
22183,48274284,1000102
22184,48274284,1000103
22185,48274284,1000108
22186,48274284,1000112
22187,48274284,1000114
22188,48274284,2000137
22189,48274284,2000141
22190,48274284,2000143
22191,48274284,2000148
23808,48584709,1000019
23809,48584709,1000027
23810,48584709,1000038
23811,48584709,1000040
23812,48584709,1000100
23813,48584709,1000102
23814,48584709,1000112
23815,48584709,2000148
24203,22349094,1000003
24204,22349094,1000004
24205,22349094,1000005
24206,22349094,1000010
24207,22349094,1000017
24208,22349094,1000019
24209,22349094,1000020
24210,22349094,1000021
24211,22349094,1000027
24212,22349094,1000029
24213,22349094,1000033
24214,22349094,1000038
24215,22349094,1000100
24216,22349094,1000101
24217,22349094,1000102
24218,22349094,1000108
24219,22349094,1000112
24220,22349094,1000116
24221,22349094,1000121
24222,22349094,1000122
24223,22349094,1000125
24224,22349094,1000127
24225,22349094,1000128
24415,48161513,1000003
24416,48161513,1000004
24417,48161513,1000016
24418,48161513,1000027
24419,48161513,1000038
24420,48161513,1000046
24421,48161513,1000097
24422,48161513,1000113
24423,48161513,2000148
24433,22389550,1000005
24434,22389550,1000009
24435,22389550,1000015
24436,22389550,1000017
24437,22389550,1000019
24438,22389550,1000020
24439,22389550,1000021
24440,22389550,1000027
24441,22389550,1000029
24442,22389550,1000033
24443,22389550,1000038
24444,22389550,1000100
24445,22389550,1000102
24446,22389550,1000121
24447,22389550,1000128
24448,22389550,1000129
24449,22389550,1000131
24961,48165421,1000004
24962,48165421,1000016
24963,48165421,1000027
24964,48165421,1000038
24965,48165421,1000040
24966,48165421,1000046
24967,48165421,1000097
24968,48165421,1000102
24969,48165421,1000108
24970,48165421,1000113
24971,48165421,2000148
25078,48584724,1000002
25079,48584724,1000016
25080,48584724,1000018
25081,48584724,1000025
25082,48584724,1000026
25083,48584724,1000027
25084,48584724,1000046
25085,48584724,1000095
25086,48584724,1000103
25087,48584724,1000109
25088,48584724,1000110
25089,48584724,1000111
25090,48584724,1000112
25091,48584724,1000114
25092,48584724,2000137
25291,48159221,1000003
25292,48159221,1000004
25293,48159221,1000016
25294,48159221,1000027
25295,48159221,1000046
25296,48159221,1000097
25297,48159221,1000102
25298,48159221,1000113
25299,48159221,2000148
26573,22640060,1000004
26574,22640060,1000015
26575,22640060,1000017
26576,22640060,1000019
26577,22640060,1000021
26578,22640060,1000027
26579,22640060,1000038
26580,22640060,1000046
26581,22640060,1000100
26582,22640060,1000121
26583,22640060,1000122
26584,22640060,1000125
26585,22640060,1000128
26586,22640060,1000129
26877,48583867,1000016
26878,48583867,1000019
26879,48583867,1000100
26880,48583867,1000102
26881,48583867,1000112
26882,48583867,1000114
30607,23327140,1000004
30608,23327140,1000009
30609,23327140,1000015
30610,23327140,1000017
30611,23327140,1000019
30612,23327140,1000020
30613,23327140,1000021
30614,23327140,1000027
30615,23327140,1000029
30616,23327140,1000033
30617,23327140,1000038
30618,23327140,1000046
32298,43885426,1000004
32299,43885426,1000016
32300,43885426,1000019
32301,43885426,1000029
32302,43885426,1000111
32303,43885426,1000116
32310,48520902,1000019
32311,48520902,1000100
32312,48520902,1000102
32313,48520902,1000106
32314,48520902,1000112
32315,48520902,2000148
32452,23593227,1000001
32453,23593227,1000003
32454,23593227,1000004
32455,23593227,1000009
32456,23593227,1000010
32457,23593227,1000015
32458,23593227,1000017
32459,23593227,1000019
32460,23593227,1000020
32461,23593227,1000021
32462,23593227,1000027
32463,23593227,1000033
32464,23593227,1000038
32546,48605420,1000016
32547,48605420,1000018
32548,48605420,1000025
32549,48605420,1000026
32550,48605420,1000027
32551,48605420,1000038
32552,48605420,1000046
32553,48605420,1000050
32554,48605420,1000071
32555,48605420,1000078
32556,48605420,1000079
32557,48605420,1000085
32558,48605420,1000097
32559,48605420,1000100
32560,48605420,1000102
32561,48605420,1000103
32562,48605420,1000105
32563,48605420,1000106
32564,48605420,1000108
32565,48605420,1000109
32566,48605420,1000110
32567,48605420,1000111
32568,48605420,1000112
32569,48605420,1000117
32570,48605420,1000118
33234,48346150,1000002
33235,48346150,1000009
33236,48346150,1000015
33237,48346150,1000016
33238,48346150,1000018
33239,48346150,1000019
33240,48346150,1000027
33241,48346150,1000029
33242,48346150,1000038
33243,48346150,1000040
33244,48346150,1000046
33245,48346150,1000068
33246,48346150,1000071
33247,48346150,1000074
33248,48346150,1000078
33249,48346150,1000079
33250,48346150,1000085
33251,48346150,1000087
33252,48346150,1000088
33253,48346150,1000090
33254,48346150,1000092
33255,48346150,1000097
33256,48346150,1000100
33257,48346150,1000102
33258,48346150,1000103
33259,48346150,1000104
33260,48346150,1000105
33261,48346150,1000106
33262,48346150,1000108
33263,48346150,1000110
33264,48346150,1000111
33265,48346150,1000116
33266,48346150,1000117
33267,48346150,1000118
33268,48346150,2000133
33269,48346150,2000137
33270,48346150,2000138
33271,48346150,2000139
33272,48346150,2000148
33273,48346150,2000167
33274,48346150,2000171
34999,48586433,1000016
35000,48586433,1000025
35001,48586433,1000026
35002,48586433,1000046
35003,48586433,1000078
35004,48586433,1000100
35005,48586433,1000102
35006,48586433,1000111
35007,48586433,1000112
35008,48586433,1000114
35009,48586433,1000116
36596,48574253,1000002
36597,48574253,1000016
36598,48574253,1000018
36599,48574253,1000025
36600,48574253,1000026
36601,48574253,1000027
36602,48574253,1000029
36603,48574253,1000078
36604,48574253,1000102
36605,48574253,1000103
36606,48574253,1000108
36607,48574253,1000111
36608,48574253,1000114
36934,23988643,1000010
36935,23988643,1000015
36936,23988643,1000017
36937,23988643,1000018
36938,23988643,1000019
36939,23988643,1000020
36940,23988643,1000021
36941,23988643,1000027
36942,23988643,1000029
36943,23988643,1000033
36944,23988643,1000038
36945,23988643,1000040
36946,23988643,1000046
36947,23988643,1000097
36948,23988643,1000100
36949,23988643,1000102
36950,23988643,1000103
36951,23988643,1000104
36952,23988643,1000105
36953,23988643,1000106
36954,23988643,1000108
36955,23988643,1000110
36956,23988643,1000111
36957,23988643,1000112
36958,23988643,1000117
36959,23988643,1000121
36960,23988643,1000122
36961,23988643,1000125
36962,23988643,1000126
36963,23988643,1000127
