,idaviso,idcaracteristica,count
1,47640499,1000111,2
3,47640499,2000141,2
6,48476953,2000148,1
12,48087543,1000118,1
20,48408169,1000116,3
21,48408213,1000106,1
23,48408169,1000100,3
25,48408169,1000106,3
28,48463201,1000102,5
29,48463201,1000110,5
31,48463201,1000111,5
32,48408210,1000114,2
33,48463201,1000085,5
35,48463201,1000117,5
36,48408210,1000085,2
38,48442660,1000102,9
39,48442660,1000038,9
40,48442660,1000110,9
41,48442660,1000111,9
42,48442660,1000100,9
43,48442660,1000079,9
44,48442660,1000101,9
45,48442660,1000106,9
46,48442660,1000109,9
56,48408278,1000085,3
57,48408278,1000090,3
58,48408278,2000148,3
59,48453837,1000102,7
60,48453837,1000105,7
61,48453837,1000110,7
62,48453837,1000111,7
66,48453824,1000102,5
68,48453837,1000106,7
69,48453824,1000038,5
70,48453824,1000110,5
71,48453837,1000118,7
73,48453824,1000111,5
75,48453837,1000109,7
76,48453824,1000079,5
78,48547228,1000116,2
81,48547228,1000118,2
82,48547196,1000102,2
87,48547196,1000106,2
88,48547100,1000102,1
89,48547107,1000116,3
95,48547107,1000085,3
97,48547107,1000109,3
98,48547101,1000114,3
100,48547101,1000085,3
101,48547101,1000117,3
102,42020435,1000102,5
103,42020435,1000116,5
104,42020435,1000111,5
105,42020435,1000078,5
106,42020435,1000109,5
108,48345502,1000038,4
110,48345502,1000111,4
113,48345502,1000085,4
116,48345502,1000092,4
119,48547128,1000116,6
123,48547128,1000079,6
125,48547128,1000068,6
126,48547128,2000142,6
128,48547128,1000106,6
129,48547128,1000118,6
131,48497249,1000111,2
132,48497249,1000117,2
133,48547109,1000116,5
138,48547109,1000068,5
139,48547109,1000085,5
140,48547109,1000092,5
141,48547109,1000109,5
143,48497368,1000116,3
146,48497368,1000078,3
149,48497368,2000148,3
162,48315544,1000116,2
166,48315544,1000092,2
169,46816879,1000102,5
170,46816879,1000027,5
171,46816879,1000111,5
172,46816879,1000100,5
173,46816879,1000101,5
175,48034048,1000038,2
177,48034048,1000111,2
180,48012640,1000109,1
181,48545131,1000102,5
182,48545131,1000027,5
183,48545131,1000116,5
184,48545131,1000111,5
185,48545131,1000100,5
186,47181909,1000102,1
188,48192981,1000116,5
191,48192981,1000078,5
193,48192981,1000079,5
194,48192981,1000090,5
195,48192981,1000092,5
197,48286834,1000038,2
198,48286834,1000027,2
201,48497171,1000027,2
207,48497171,1000106,2
210,48547119,1000116,7
212,48547119,1000100,7
213,48547119,1000079,7
214,48547119,1000068,7
215,48547119,2000142,7
216,48547119,1000090,7
217,48547119,1000118,7
218,48547200,1000102,3
219,48547200,1000111,3
220,48547200,1000100,3
226,47718283,1000100,1
230,48547160,1000102,2
232,48547160,1000110,2
235,48547273,1000114,2
238,48547273,1000118,2
242,48547224,1000110,1
247,48337205,1000102,1
250,46752749,1000027,3
253,46752749,1000111,3
256,46752749,1000106,3
259,48547475,1000027,2
261,48547475,1000111,2
267,48538139,1000111,1
268,46720396,1000102,1
269,48511785,1000102,3
272,48511785,1000110,3
273,48511785,1000068,3
276,48547155,1000078,4
278,48547155,1000079,4
279,48547155,1000068,4
280,48547155,1000090,4
282,48547482,1000111,1
290,48148453,1000111,2
296,48148453,1000109,2
298,46214033,1000114,2
303,46214033,1000100,2
311,46771086,1000116,5
317,46771086,1000101,5
319,46771086,2000141,5
321,46771086,2000148,5
323,46771086,1000118,5
325,48533286,1000116,5
326,48533286,1000111,5
328,48533286,1000100,5
330,48533286,1000101,5
335,48533286,1000109,5
337,46843528,1000116,2
341,46843528,1000101,2
347,47707145,1000116,4
353,47707145,1000101,4
355,47707145,2000141,4
357,47707145,2000148,4
368,46890951,1000002,3
372,46890951,2000148,3
374,46890951,1000109,3
376,45665591,1000102,5
377,45665591,1000110,5
378,45665591,1000078,5
379,45665591,1000090,5
380,45665591,1000092,5
382,48547279,1000027,6
383,48547279,1000116,6
387,48547279,1000078,6
388,48547279,1000100,6
391,48547279,1000106,6
392,48547279,1000118,6
395,48547183,2000142,1
396,48010702,1000102,5
398,48010702,1000116,5
402,48010702,1000079,5
403,48010702,1000106,5
404,48010702,1000109,5
406,45287865,1000027,6
409,45287865,1000079,6
410,45287865,1000085,6
411,45287865,1000117,6
412,45287865,1000106,6
413,45287865,1000118,6
414,48547576,1000102,7
415,48547576,1000105,7
416,48547576,1000110,7
417,48547576,1000111,7
418,48547576,1000078,7
419,48547576,1000079,7
420,48547576,1000118,7
421,48547241,1000102,1
429,48542072,1000079,2
430,48542072,1000092,2
432,47077499,1000116,2
436,47077499,1000101,2
444,47107427,1000116,2
445,47107427,1000110,2
449,46926167,1000038,3
451,46926167,1000078,3
452,46926167,1000079,3
455,47819563,1000114,2
456,47819563,1000110,2
457,48296832,1000102,5
458,48296832,1000111,5
459,48296832,1000078,5
460,48296832,1000100,5
461,48296832,2000148,5
462,48533265,1000102,6
463,48533265,1000114,6
464,48533265,1000111,6
465,48533265,1000100,6
466,48533265,1000117,6
467,48533265,1000106,6
470,45819351,1000101,1
473,48278058,1000110,1
483,46626534,1000115,4
484,46626534,1000105,4
487,46626534,1000078,4
488,46626534,1000079,4
490,48533275,1000110,3
491,48533275,1000117,3
492,48533275,1000106,3
493,48547235,1000102,2
494,48547235,1000111,2
514,48477156,1000110,5
515,48477156,1000111,5
516,48477156,1000078,5
518,48477156,1000079,5
519,48477156,1000117,5
522,44729016,1000102,2
523,44729016,1000100,2
525,48078985,1000110,3
527,48078985,1000078,3
528,48078985,1000109,3
530,48547209,1000111,2
531,48547209,1000117,2
532,47679035,1000102,4
533,48511856,1000102,3
534,47679035,1000111,4
536,47679035,1000079,4
538,47679035,1000106,4
539,48511856,1000110,3
540,48511856,1000111,3
545,48547598,1000102,4
549,48547598,1000110,4
550,48547626,1000116,4
551,48547598,1000111,4
553,48547598,1000079,4
556,48547626,1000079,4
557,48547626,1000068,4
558,48547626,1000118,4
562,48511789,1000110,3
563,48511789,1000111,3
564,48511789,1000078,3
569,48547505,1000116,4
570,48547505,1000110,4
575,48547505,1000106,4
576,48547505,1000118,4
588,48547563,1000102,4
589,48547563,1000116,4
590,48547563,1000111,4
591,48547563,1000100,4
597,48388853,1000102,3
598,48388853,1000078,3
599,48388853,1000079,3
600,48547345,1000102,6
601,48547345,1000116,6
604,48547345,1000079,6
606,48547345,1000068,6
607,48547345,2000142,6
609,48547345,1000109,6
611,48502155,1000115,3
612,48502155,1000027,3
617,48502155,1000085,3
619,47797198,1000102,9
620,47797198,1000114,9
